timestamp_raw,timestamp_iso,price,volume
Jun 05 2015 01: +0,,3.13,101697
Jun 06 2015 01: +0,,3.564,93102
Jun 07 2015 01: +0,,3.506,86822
Jun 08 2015 01: +0,,3.353,81799
Jun 09 2015 01: +0,,3.135,81892
Jun 10 2015 01: +0,,3.193,88942
Jun 11 2015 01: +0,,3.037,75422
Jun 12 2015 01: +0,,2.605,92665
Jun 13 2015 01: +0,,2.858,86942
Jun 14 2015 01: +0,,2.678,87948
Jun 15 2015 01: +0,,2.438,71338
Jun 16 2015 01: +0,,2.62,72383
Jun 17 2015 01: +0,,2.391,69315
Jun 18 2015 01: +0,,2.46,68252
Jun 19 2015 01: +0,,2.621,66410
Jun 20 2015 01: +0,,2.615,69167
Jun 21 2015 01: +0,,2.66,63549
Jun 22 2015 01: +0,,2.345,60445
Jun 23 2015 01: +0,,2.569,55952
Jun 24 2015 01: +0,,2.491,62471
Jun 25 2015 01: +0,,2.65,63908
Jun 26 2015 01: +0,,2.722,67835
Jun 27 2015 01: +0,,2.64,68250
Jun 28 2015 01: +0,,2.71,66352
Jun 29 2015 01: +0,,2.608,66821
Jun 30 2015 01: +0,,2.606,75965
Jul 01 2015 01: +0,,2.628,76036
Jul 02 2015 01: +0,,2.412,74451
Jul 03 2015 01: +0,,2.519,74878
Jul 04 2015 01: +0,,2.23,65848
Jul 05 2015 01: +0,,2.363,60233
Jul 06 2015 01: +0,,2.336,70069
Jul 07 2015 01: +0,,2.442,65839
Jul 08 2015 01: +0,,2.488,61662
Jul 09 2015 01: +0,,2.168,65571
Jul 10 2015 01: +0,,2.415,67290
Jul 11 2015 01: +0,,2.287,73722
Jul 12 2015 01: +0,,2.308,71548
Jul 13 2015 01: +0,,2.083,68556
Jul 14 2015 01: +0,,1.915,67135
Jul 15 2015 01: +0,,2.21,69881
Jul 16 2015 01: +0,,1.721,70163
Jul 17 2015 01: +0,,2.089,72024
Jul 18 2015 01: +0,,2.248,70206
Jul 19 2015 01: +0,,2.057,69525
Jul 20 2015 01: +0,,1.819,71515
Jul 21 2015 01: +0,,1.843,75191
Jul 22 2015 01: +0,,1.642,62795
Jul 23 2015 01: +0,,1.62,69408
Jul 24 2015 01: +0,,1.967,72848
Jul 25 2015 01: +0,,1.951,71608
Jul 26 2015 01: +0,,2.213,62465
Jul 27 2015 01: +0,,1.439,69929
Jul 28 2015 01: +0,,1.496,66575
Jul 29 2015 01: +0,,1.321,65589
Jul 30 2015 01: +0,,1.49,65430
Jul 31 2015 01: +0,,1.783,68485
Aug 01 2015 01: +0,,1.693,71711
Aug 02 2015 01: +0,,1.327,74523
Aug 03 2015 01: +0,,1.443,65100
Aug 04 2015 01: +0,,1.223,66546
Aug 05 2015 01: +0,,1.43,67344
Aug 06 2015 01: +0,,1.314,66487
Aug 07 2015 01: +0,,1.545,69446
Aug 08 2015 01: +0,,1.812,71051
Aug 09 2015 01: +0,,1.561,65163
Aug 10 2015 01: +0,,1.209,71875
Aug 11 2015 01: +0,,1.458,61375
Aug 12 2015 01: +0,,1.125,68117
Aug 13 2015 01: +0,,1.336,61408
Aug 14 2015 01: +0,,1.28,63278
Aug 15 2015 01: +0,,1.441,58427
Aug 16 2015 01: +0,,1.189,57861
Aug 17 2015 01: +0,,1.149,54504
Aug 18 2015 01: +0,,0.925,53844
Aug 19 2015 01: +0,,0.732,67889
Aug 20 2015 01: +0,,0.686,64668
Aug 21 2015 01: +0,,1.077,70445
Aug 22 2015 01: +0,,0.942,61971
Aug 23 2015 01: +0,,1.101,60754
Aug 24 2015 01: +0,,1.044,67673
Aug 25 2015 01: +0,,0.915,62692
Aug 26 2015 01: +0,,1.13,65489
Aug 27 2015 01: +0,,1.018,67708
Aug 28 2015 01: +0,,1.239,70835
Aug 29 2015 01: +0,,1.265,70350
Aug 30 2015 01: +0,,1.021,74974
Aug 31 2015 01: +0,,1.294,67217
Sep 01 2015 01: +0,,1.353,73737
Sep 02 2015 01: +0,,0.775,68672
Sep 03 2015 01: +0,,1.45,74944
Sep 04 2015 01: +0,,1.407,74390
Sep 05 2015 01: +0,,1.073,80744
Sep 06 2015 01: +0,,1.203,73110
Sep 07 2015 01: +0,,1.312,73035
Sep 08 2015 01: +0,,1.002,86441
Sep 09 2015 01: +0,,1.361,57446
Sep 10 2015 01: +0,,1.103,74220
Sep 11 2015 01: +0,,1.049,71522
Sep 12 2015 01: +0,,1.246,77601
Sep 13 2015 01: +0,,1.104,80378
Sep 14 2015 01: +0,,1.166,64413
Sep 15 2015 01: +0,,1.22,60444
Sep 16 2015 01: +0,,1.132,77071
Sep 17 2015 01: +0,,1.128,77552
Sep 18 2015 01: +0,,1.684,152595
Sep 19 2015 01: +0,,1.073,151635
Sep 20 2015 01: +0,,1.535,128117
Sep 21 2015 01: +0,,1.291,109600
Sep 22 2015 01: +0,,1.399,95045
Sep 23 2015 01: +0,,1.64,87208
Sep 24 2015 01: +0,,1.545,80629
Sep 25 2015 01: +0,,1.864,89070
Sep 26 2015 01: +0,,2.169,78555
Sep 27 2015 01: +0,,1.752,68169
Sep 28 2015 01: +0,,1.712,65924
Sep 29 2015 01: +0,,1.702,58249
Sep 30 2015 01: +0,,1.809,55835
Oct 01 2015 01: +0,,1.984,52381
Oct 02 2015 01: +0,,1.973,65820
Oct 03 2015 01: +0,,1.866,72520
Oct 04 2015 01: +0,,2.214,64921
Oct 05 2015 01: +0,,2.375,64446
Oct 06 2015 01: +0,,2.537,70005
Oct 07 2015 01: +0,,2.764,80480
Oct 08 2015 01: +0,,1.807,183590
Oct 09 2015 01: +0,,2.423,144475
Oct 10 2015 01: +0,,2.352,119137
Oct 11 2015 01: +0,,2.361,113881
Oct 12 2015 01: +0,,2.429,292085
Oct 13 2015 01: +0,,2.628,294339
Oct 14 2015 01: +0,,3.852,158872
Oct 15 2015 01: +0,,3.672,118899
Oct 16 2015 01: +0,,3.769,65717
Oct 17 2015 01: +0,,3.355,76070
Oct 18 2015 01: +0,,3.064,63529
Oct 19 2015 01: +0,,3.172,51039
Oct 20 2015 01: +0,,3.116,54406
Oct 21 2015 01: +0,,3.073,66605
Oct 22 2015 01: +0,,2.894,46277
Oct 23 2015 01: +0,,2.832,63021
Oct 24 2015 01: +0,,2.616,64324
Oct 25 2015 01: +0,,2.346,65161
Oct 26 2015 01: +0,,2.668,51328
Oct 27 2015 01: +0,,2.297,51611
Oct 28 2015 01: +0,,2.021,53222
Oct 29 2015 01: +0,,2.241,53002
Oct 30 2015 01: +0,,2.884,55659
Oct 31 2015 01: +0,,2.975,66730
Nov 01 2015 01: +0,,2.817,78425
Nov 02 2015 01: +0,,2.657,56324
Nov 03 2015 01: +0,,2.906,38862
Nov 04 2015 01: +0,,2.391,42254
Nov 05 2015 01: +0,,2.349,40733
Nov 06 2015 01: +0,,2.331,39479
Nov 07 2015 01: +0,,2.364,45094
Nov 08 2015 01: +0,,1.992,42020
Nov 09 2015 01: +0,,2.111,35526
Nov 10 2015 01: +0,,2.108,31841
Nov 11 2015 01: +0,,2.309,28421
Nov 12 2015 01: +0,,2.479,31008
Nov 13 2015 01: +0,,2.172,48223
Nov 14 2015 01: +0,,1.823,45880
Nov 15 2015 01: +0,,1.832,46644
Nov 16 2015 01: +0,,2.776,61945
Nov 17 2015 01: +0,,2.948,99011
Nov 18 2015 01: +0,,3.253,72163
Nov 19 2015 01: +0,,2.899,59506
Nov 20 2015 01: +0,,3.324,65609
Nov 21 2015 01: +0,,3.285,65855
Nov 22 2015 01: +0,,3.234,57665
Nov 23 2015 01: +0,,3.283,44217
Nov 24 2015 01: +0,,3.567,45287
Nov 25 2015 01: +0,,3.323,48395
Nov 26 2015 01: +0,,3.095,61111
Nov 27 2015 01: +0,,3.076,66273
Nov 28 2015 01: +0,,2.95,61967
Nov 29 2015 01: +0,,2.68,57509
Nov 30 2015 01: +0,,2.773,46843
Dec 01 2015 01: +0,,2.852,53579
Dec 02 2015 01: +0,,2.922,50489
Dec 03 2015 01: +0,,3.033,40601
Dec 04 2015 01: +0,,3.111,50041
Dec 05 2015 01: +0,,2.969,46572
Dec 06 2015 01: +0,,3.125,46260
Dec 07 2015 01: +0,,3.279,43145
